head	relation	tail
char_gisburn	COME	SOGGETTO_EROE
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_gisburn_abandons_painting
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_gisburn_establishes_villa
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_grafton_gallery_show
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_rickham_visits_villa
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_gisburn_paints_stroud
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_rickham_discovers_donkey_sketch
char_gisburn	PARTECIPA_COME_SOGGETTO	evt_gisburn_explains_abdication
char_rickham	PARTECIPA_COME_SOGGETTO	evt_rickham_visits_riviera
char_rickham	PARTECIPA_COME_SOGGETTO	evt_rickham_visits_villa
char_rickham	PARTECIPA_COME_SOGGETTO	evt_rickham_sees_portrait
char_rickham	PARTECIPA_COME_SOGGETTO	evt_rickham_discovers_donkey_sketch
char_rickham	PARTECIPA_COME_DESTINATARIO	evt_gisburn_explains_abdication
char_gisburn_wife	PARTECIPA_COME_CONIUGE_FAMILIARE	evt_gisburn_abandons_painting
char_gisburn_wife	PARTECIPA_COME_AMICO	evt_rickham_visits_villa
char_gisburn_wife	PARTECIPA_COME_SOGGETTO	evt_rickham_sees_portrait
char_hermia_croft	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_grafton_gallery_show
char_claude_nutley	PARTECIPA_COME_SOGGETTO	evt_nutley_publishes_obituary
char_grindle	COME	OPPONENTE_ANTAGONISTA
char_grindle	PARTECIPA_COME_OPPONENTE_RIVALE	evt_gisburn_abandons_painting
char_grindle	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_grindle_suggestion
char_grindle	PARTECIPA_COME_SOGGETTO	evt_grindle_paints
char_stroud	COME	DONATORE_FORNITORE
char_stroud	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_discovery
char_stroud	PARTECIPA_COME_OPPONENTE_RIVALE	evt_unease
char_stroud	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_grindle_paints
char_stroud_wife	PARTECIPA_COME_DESTINANTE	evt_gisburn_paints_stroud
char_stroud_wife	PARTECIPA_COME_DONATORE	evt_stroud_note
char_stroud_wife	PARTECIPA_COME_DESTINATARIO	evt_grindle_suggestion
evt_gisburn_abandons_painting	COME	CAMBIAMENTO_DI_STATO
evt_gisburn_establishes_villa	AVVIENE_DOPO	evt_gisburn_abandons_painting
evt_gisburn_establishes_villa	AVVIENE_IN	loc_riviera
evt_grafton_gallery_show	AVVIENE_IN	loc_grafton_gallery
evt_nutley_publishes_obituary	AVVIENE_DOPO	evt_gisburn_abandons_painting
evt_rickham_visits_riviera	AVVIENE_DOPO	evt_gisburn_establishes_villa
evt_rickham_visits_riviera	AVVIENE_IN	loc_riviera
evt_rickham_visits_villa	AVVIENE_DOPO	evt_rickham_visits_riviera
evt_rickham_visits_villa	AVVIENE_IN	loc_gisburn_villa
evt_rickham_sees_portrait	AVVIENE_DOPO	evt_rickham_visits_villa
evt_rickham_sees_portrait	AVVIENE_IN	loc_gisburn_villa
evt_gisburn_paints_stroud	AVVIENE_DOPO	evt_stroud_death
evt_gisburn_paints_stroud	COME	CAMBIAMENTO_DI_STATO
evt_rickham_discovers_donkey_sketch	AVVIENE_DOPO	evt_rickham_sees_portrait
evt_rickham_discovers_donkey_sketch	AVVIENE_IN	loc_gisburn_villa
evt_rickham_discovers_donkey_sketch	COME	RIVELAZIONE_SCOPERTA
evt_gisburn_explains_abdication	AVVIENE_DOPO	evt_rickham_discovers_donkey_sketch
evt_gisburn_explains_abdication	AVVIENE_IN	loc_gisburn_villa
evt_gisburn_explains_abdication	AVVIENE_DOPO	evt_curiosity
loc_riviera	COME	ALL_APERTO
loc_gisburn_villa	COME	AL_CHIUSO
char_narrator	PARTECIPA_COME_SOGGETTO	evt_request
char_companion	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_request
char_companion	PARTECIPA_COME_SOGGETTO	evt_stroud_note
char_companion	PARTECIPA_COME_SOGGETTO	evt_journey
char_companion	PARTECIPA_COME_SOGGETTO	evt_discovery
char_companion	PARTECIPA_COME_SOGGETTO	evt_unease
char_companion	PARTECIPA_COME_SOGGETTO	evt_donkey_sketch
char_companion	PARTECIPA_COME_SOGGETTO	evt_revelation
char_companion	PARTECIPA_COME_SOGGETTO	evt_abandonment
char_companion	PARTECIPA_COME_SOGGETTO	evt_grindle_suggestion
evt_curiosity	COME	ESPOSIZIONE
evt_curiosity	AVVIENE_IN	loc_room
evt_request	AVVIENE_DOPO	evt_curiosity
evt_stroud_note	AVVIENE_DOPO	evt_request
evt_journey	AVVIENE_DOPO	evt_stroud_note
evt_journey	COME	SPOSTAMENTO_VIAGGIO
evt_journey	AVVIENE_IN	loc_stroud_house
evt_discovery	AVVIENE_DOPO	evt_journey
evt_discovery	COME	RIVELAZIONE_SCOPERTA
evt_unease	AVVIENE_DOPO	evt_discovery
evt_unease	COME	PREDICAMENTO
evt_donkey_sketch	AVVIENE_DOPO	evt_unease
evt_revelation	AVVIENE_DOPO	evt_donkey_sketch
evt_revelation	COME	RIVELAZIONE_SCOPERTA
evt_abandonment	AVVIENE_DOPO	evt_revelation
evt_abandonment	COME	SCONFITTA
evt_grindle_suggestion	AVVIENE_DOPO	evt_abandonment
evt_grindle_paints	AVVIENE_DOPO	evt_grindle_suggestion
loc_room	COME	AL_CHIUSO
loc_stroud_house	COME	AL_CHIUSO
obj_sketch	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_donkey_sketch
