head	relation	tail
char_robert_neville	COME	SOGGETTO_EROE
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_checking_windows
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_checking_hothouse
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_repairing_plank
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_collecting_garlic
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_preparing_garlic
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_hanging_garlic
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_making_stakes
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_preparing_supper
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_locking_house
char_robert_neville	PARTECIPA_COME_OPPONENTE_RIVALE	evt_creatures_arrival
char_robert_neville	PARTECIPA_COME_OPPONENTE_RIVALE	evt_cortman_shouting
char_robert_neville	PARTECIPA_COME_OPPONENTE_RIVALE	evt_creatures_attacking
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_reading_and_listening
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_going_to_bed
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_discovery_germ
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_understanding_bacillus
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_realization_cause
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_despair
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_study_spores
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_theory_dust_storms
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_historical_plagues
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dinner
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_music
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_microscope_observation
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_garlic_test
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_list_making
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_frustration
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_drinking_binge
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_encounter
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_chase_dog
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_loss_dog
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_disappears
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_search_neighborhood
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_return_home_dejected
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_illness_shock
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_afternoon_search
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_put_food_out
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_existential_reflection
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_prayer
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_food_gone
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_safe
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_buy_dog_supplies
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_goes_to_door
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_sits_on_porch
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_calls_out
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_runs_inside
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_daily_game
char_robert_neville	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dog_approaches_slowly
char_robert_neville	PARTECIPA_COME_SPETTATORE_NEUTRALE	evt_dog_grabs_meat
char_robert_neville	COME	DONATORE_FORNITORE
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_eating
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_approaches
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_follows
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_captures
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_comforts
char_robert_neville	PARTECIPA_COME_AIUTANTE_ALLEATO	evt_dog_calms
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_care
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_death
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_dog_burial
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_wandering
char_robert_neville	PARTECIPA_COME_OGGETTO_BERSAGLIO	evt_revival
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_escape
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_analysis
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_hunting
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_hunting
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_neville_resting
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_woman_spotted
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_chase
char_robert_neville	PARTECIPA_COME_SOGGETTO	evt_struggle
